NOMBRE,num_arboles,Temp_media,Temp_max,Temp_min
San Diego,22,35.259053443454725,46.080611447521676,27.01771949715015
El Salado,7,36.87394049327693,42.76973889584496,29.468885708920702
Bello Horizonte,8,39.26459873223287,43.196248385232266,34.27432458579019
Villa Nueva,12,39.581002022688246,42.50120144009555,36.100884693048165
Batallón Cuarta Brigada,5,36.30602596170996,39.13950448240109,33.460687246455514
Los Balsos No.1,7,30.539174792581058,36.89252788543778,23.659143312621037
Villa Carlota,32,39.129074340177574,48.00584833438436,32.465597603706705
El Compromiso,0,31.485150627665536,35.61106761451725,26.920380145768526
Pajarito,1,35.173141361362326,39.95210152610991,28.8537906849911
La Libertad,5,36.26854912889735,41.21884951297598,30.712301795732436
San Martín de Porres,3,41.01680802188469,44.07007262751828,36.739014160811834
Las Brisas,7,37.37277695676076,42.108129185327805,31.701149984928687
Villa Lilliam,0,34.14898864153954,38.97677705208816,26.960950611558907
Santander,56,39.34875356932911,42.546230196660176,34.60839877602074
Las Playas,23,37.94893150198554,42.87153654732551,32.87992106804138
San Pablo,0,33.6087788522026,37.00532246566026,29.09334920725588
Las Esmeraldas,1,36.68089640629404,38.85833517030615,33.80531268432279
San Miguel,10,37.37282779212466,40.0509270152535,31.779467189848013
Barrio Caycedo,3,39.108650004165014,42.13933722871054,34.26451625970663
B. Cerro El Volador,1,36.29253183375485,42.87406281441706,30.9903502947096
Santa Margarita,0,35.29995907239074,41.469553809020056,27.322666322677065
Suramericana,31,38.655352999344565,44.10172640534267,33.67215854404766
San Pedro,3,39.889954172469444,41.85341243318022,37.04693321611967
Villa Turbay,0,30.40826375249981,35.8231334395007,24.08788192019512
Eduardo Santos,7,35.20493959303341,39.63318548509045,29.784829617166704
Asomadera No.1,10,32.19846667691991,39.42260573184445,23.512465626519205
Bomboná No.2,19,32.458926603209754,38.77006111374493,22.64993578353008
Popular,0,35.08057329678579,39.460352594535514,26.85112820268557
La Cruz,0,27.508868946651432,32.84217424130054,20.422575580809077
San Germán,7,34.074040129835595,40.3799485331488,26.7637457224894
Progreso No.2,11,40.348751223183584,43.10485358699942,36.720289376174016
Las Palmas,42,36.63790522858948,41.44681653283927,27.750513160140986
Barrio Cristóbal,7,37.53946897068292,41.16029733120884,31.966120777163738
Girardot,91,37.83713658360271,42.621426590164766,31.544366846305646
Los Balsos No.2,0,33.41033004162664,38.686542491597336,29.192769122412134
Los Colores,33,36.51856583358206,41.200867780691674,29.78319479615066
Palermo,1,37.61249595478558,40.53346220896571,31.554026413161527
San Joaquín,1,40.00414778714374,44.05268539016646,35.717471972379435
La Candelaria,5,39.72266941798661,43.87435387848168,35.22349378019406
Manila,8,38.388034139346885,42.05165749892623,35.007712745870855
Batallón Girardot,5,30.709755113607486,37.295259739136824,25.029620737759448
Villatina,4,35.125627023487766,40.60197124876149,27.25490037805432
Barrio Colón,14,40.330460796256936,45.378728409800885,34.81734396895722
Jardín Botánico,0,35.271163022941884,40.30757563255097,31.921389215076868
San Isidro,6,38.07917184278196,41.247233942458834,33.6705239115396
San José La Cima No.2,0,26.723891691814487,31.55075711198245,23.19696754407355
Antonio Nariño,8,38.49918353161922,43.65203390815729,31.600095368798847
Ferrini,4,36.47527174550709,39.74241350222658,32.375985903888
Córdoba,3,39.58629404001544,42.482922519578395,33.98230681873643
Estación Villa,0,41.970113047521465,44.57861451765328,37.18424848245374
Florencia,21,39.89191517227438,42.786234532108125,34.54360501293777
Cementerio Universal,11,37.979478430432216,42.70033833258069,35.21977867595154
Aures No.2,40,37.552264793170544,40.7988789675378,32.94649812043098
Blanquizal,0,35.793084574463684,39.88968550842054,30.64617065923873
La Ladera,6,30.118148241947715,37.52486159122837,23.627638081417103
Asomadera No.2,5,29.56575638786565,35.37908808054477,24.631941538157918
Parque Norte,34,34.87039375753805,40.55411891780955,28.487616647631004
Sucre,2,37.078409883814686,40.86560453916994,31.609903675338842
La Salle,2,34.21463279561286,38.37267909847319,26.163660220294258
La piñuela,0,36.58870569362801,39.44251942688224,33.114724140678085
Lopez de  Mesa,22,37.217666088480925,40.02997298158587,32.6806356331369
La Colina,16,38.53282486186402,44.69453003742274,28.896144319421293
San Javier No.1,6,39.23901333743732,41.41040732179349,35.27416975943488
Héctor Abad Gómez,2,37.14744055509151,41.86871919255266,31.592664940226744
Castilla,0,40.61422207000772,43.39033255576428,36.09746664311568
Florida Nueva,17,39.76657044995746,43.024307179403884,35.17801927901156
Estadio,22,38.39846971227794,42.00113020381922,31.608120355503587
El Socorro,0,37.83752516496513,42.84151736583179,28.951872959487105
Versalles No.2,0,28.573619542525247,31.823009742838845,24.47114599899607
Bomboná No.1,5,38.658544097072564,42.24737624922599,34.796984363076184
Centro Administrativo,0,38.204282156758474,41.99087627684784,35.509567232083064
Campo Valdés No.2,5,37.10004104404686,39.5529362793954,32.389360788105066
Granada,0,40.34919496626053,42.685180105451366,36.957470298634526
Los Alpes,0,37.36200302122813,41.12671156627635,30.094383334233633
Facultad de Minas U. Nacional,7,33.624882742774496,35.79504625811568,32.28459107624789
Campo Alegre,57,36.75495904810898,40.643284716804956,31.827170818683786
Altavista,3,38.314195679866046,43.20412465816875,30.850508702086042
Guayabal,35,42.20338162096052,46.90702923902856,33.052605363734735
